Date,tickerYF,Close
2021-03-01,BNTX,110.21
2021-03-02,BNTX,104.98
2021-03-03,BNTX,97.25
2021-03-04,BNTX,95.15
2021-03-05,BNTX,96.2
2021-03-08,BNTX,90.29
2021-03-09,BNTX,96.48
2021-03-10,BNTX,98.02
2021-03-11,BNTX,102.6
2021-03-12,BNTX,103.28
2021-03-15,BNTX,107.88
2021-03-16,BNTX,108.1
2021-03-17,BNTX,106.66
2021-03-18,BNTX,103.65
2021-03-19,BNTX,107.59
2021-03-22,BNTX,107.0
2021-03-23,BNTX,100.11
2021-03-24,BNTX,94.05
2021-03-25,BNTX,95.13
2021-03-26,BNTX,95.76
2021-03-29,BNTX,95.91
2021-03-30,BNTX,104.44
2021-03-31,BNTX,109.19
2021-04-01,BNTX,113.87
2021-04-05,BNTX,115.37
2021-04-06,BNTX,117.15
2021-04-07,BNTX,113.32
2021-04-08,BNTX,114.49
2021-04-09,BNTX,122.14
2021-04-12,BNTX,121.52
2021-04-13,BNTX,127.8
2019-04-15,MRNA,25.84
2019-04-16,MRNA,23.78
2019-04-17,MRNA,23.5
2019-04-18,MRNA,22.51
2019-04-22,MRNA,23.63
2019-04-23,MRNA,24.7
2019-04-24,MRNA,25.76
2019-04-25,MRNA,25.74
2019-04-26,MRNA,26.26
2019-04-29,MRNA,25.14
2019-04-30,MRNA,26.03
2019-05-01,MRNA,26.4
2019-05-02,MRNA,28.34
2019-05-03,MRNA,27.2
2019-05-06,MRNA,27.1
2019-05-07,MRNA,24.55
2019-05-08,MRNA,23.54
2019-05-09,MRNA,23.26
2019-05-10,MRNA,24.92
2019-05-13,MRNA,24.43
2019-05-14,MRNA,23.59
2019-05-15,MRNA,23.12
2019-05-16,MRNA,23.46
2019-05-17,MRNA,23.08
2019-05-20,MRNA,22.6
2019-05-21,MRNA,22.7
2019-05-22,MRNA,22.0
2019-05-23,MRNA,21.38
2019-05-24,MRNA,21.83
2019-05-28,MRNA,21.54
2019-05-29,MRNA,21.7
2019-05-30,MRNA,21.49
2019-05-31,MRNA,20.78
2019-06-03,MRNA,19.85
2019-06-04,MRNA,19.47
2019-06-05,MRNA,17.7
2019-06-06,MRNA,17.94
2019-06-07,MRNA,17.52
2019-06-10,MRNA,15.67
2019-06-11,MRNA,16.0
2019-06-12,MRNA,16.3
2019-06-13,MRNA,16.16
2019-06-14,MRNA,15.4
2019-06-17,MRNA,15.77
2019-06-18,MRNA,15.74
2019-06-19,MRNA,15.5
2019-06-20,MRNA,15.18
2019-06-21,MRNA,14.7
2019-06-24,MRNA,14.04
2019-06-25,MRNA,13.77
2019-06-26,MRNA,13.7
2019-06-27,MRNA,14.34
2019-06-28,MRNA,14.64
2019-07-01,MRNA,14.73
2019-07-02,MRNA,14.4
2019-07-03,MRNA,15.31
2019-07-05,MRNA,14.96
2019-07-08,MRNA,14.29
2019-07-09,MRNA,14.85
2019-07-10,MRNA,14.48
2019-07-11,MRNA,14.44
2019-07-12,MRNA,14.2
2019-07-15,MRNA,14.32
2019-07-16,MRNA,14.14
2019-07-17,MRNA,14.03
2019-07-18,MRNA,14.26
2019-07-19,MRNA,14.11
2019-07-22,MRNA,14.05
2019-07-23,MRNA,13.6
2019-07-24,MRNA,14.47
2019-07-25,MRNA,13.51
2019-07-26,MRNA,14.12
2019-07-29,MRNA,13.69
2019-07-30,MRNA,13.4
2019-07-31,MRNA,13.1
2019-08-01,MRNA,13.01
2019-08-02,MRNA,12.73
2019-08-05,MRNA,12.26
2019-08-06,MRNA,12.29
2019-08-07,MRNA,12.85
2019-08-08,MRNA,13.19
2019-08-09,MRNA,13.33
2019-08-12,MRNA,13.02
2019-08-13,MRNA,13.3
2019-08-14,MRNA,12.74
2019-08-15,MRNA,12.67
2019-08-16,MRNA,13.16
2019-08-19,MRNA,13.4
2019-08-20,MRNA,14.15
2019-08-21,MRNA,14.29
2019-08-22,MRNA,14.16
2019-08-23,MRNA,13.88
2019-08-26,MRNA,14.97
2019-08-27,MRNA,14.51
2019-08-28,MRNA,14.82
2019-08-29,MRNA,15.18
2019-08-30,MRNA,15.73
2019-09-03,MRNA,14.88
2019-09-04,MRNA,15.42
2019-09-05,MRNA,15.53
2019-09-06,MRNA,15.88
2019-09-09,MRNA,16.03
2019-09-10,MRNA,17.09
2019-09-11,MRNA,15.92
2019-09-12,MRNA,16.4
2019-09-13,MRNA,16.71
2019-09-16,MRNA,17.05
2019-09-17,MRNA,17.66
2019-09-18,MRNA,17.78
2019-09-19,MRNA,17.9
2019-09-20,MRNA,18.07
2019-09-23,MRNA,17.83
2019-09-24,MRNA,17.82
2019-09-25,MRNA,17.18
2019-09-26,MRNA,16.34
2019-09-27,MRNA,15.9
2019-09-30,MRNA,15.92
2019-10-01,MRNA,14.81
2019-10-02,MRNA,14.86
2019-10-03,MRNA,15.07
2019-10-04,MRNA,15.51
2019-10-07,MRNA,15.47
2019-10-08,MRNA,15.31
2019-10-09,MRNA,14.2
2019-10-10,MRNA,14.16
2019-10-11,MRNA,14.06
2019-10-14,MRNA,13.93
2019-10-15,MRNA,14.33
2019-10-16,MRNA,14.15
2019-10-17,MRNA,14.54
2019-10-18,MRNA,14.81
2019-10-21,MRNA,15.5
2019-10-22,MRNA,15.92
2019-10-23,MRNA,16.9
2019-10-24,MRNA,16.59
2019-10-25,MRNA,17.01
2019-10-28,MRNA,17.03
2019-10-29,MRNA,16.99
2019-10-30,MRNA,17.14
2019-10-31,MRNA,16.75
2019-11-01,MRNA,15.66
2019-11-04,MRNA,16.8
2019-11-05,MRNA,16.89
2019-11-06,MRNA,16.13
2019-11-07,MRNA,17.5
2019-11-08,MRNA,17.49
2019-11-11,MRNA,17.4
2019-11-12,MRNA,17.99
2019-11-13,MRNA,18.25
